"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"1","Wednesday","07:50","TE01-1","E5051-EE101-3-FISIKA DASAR I","AIP","","",""
"1","Wednesday","08:40","TE01-1","E5051-EE101-3-FISIKA DASAR I","AIP","","",""
"1","Wednesday","09:30","TE01-1","E5051-EE101-3-FISIKA DASAR I","AIP","","",""
"2","Monday","07:00","TE02-1","E5051-EE101-3-FISIKA DASAR I","BMY+ADN","","",""
"2","Monday","07:50","TE02-1","E5051-EE101-3-FISIKA DASAR I","BMY+ADN","","",""
"2","Monday","08:40","TE02-1","E5051-EE101-3-FISIKA DASAR I","BMY+ADN","","",""
"3","Monday","07:50","TE01-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+DDW","","",""
"3","Monday","08:40","TE01-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+DDW","","",""
"3","Monday","09:30","TE01-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+DDW","","",""
"4","Wednesday","13:00","TE02-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+AHS","","",""
"4","Wednesday","13:50","TE02-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+AHS","","",""
"4","Wednesday","14:40","TE02-1","E5051-EE103-3-KOMPUTER DAN PEMROGRAMAN","EAJ+AHS","","",""
"5","Tuesday","09:30","TE01-1","E5051-EE105-2-GAMBAR TEKNIK ELEKTRO","HSB+ELM","","",""
"5","Tuesday","10:20","TE01-1","E5051-EE105-2-GAMBAR TEKNIK ELEKTRO","HSB+ELM","","",""
"6","Monday","13:50","TE02-1","E5051-EE105-2-GAMBAR TEKNIK ELEKTRO","ELM+HSB","PRAKTIKUM","",""
"6","Monday","14:40","TE02-1","E5051-EE105-2-GAMBAR TEKNIK ELEKTRO","ELM+HSB","PRAKTIKUM","",""
"7","Monday","13:00","TE01-1","E5051-EE107-2-KIMIA DASAR","AMH","","",""
"7","Monday","13:50","TE01-1","E5051-EE107-2-KIMIA DASAR","AMH","","",""
"8","Tuesday","13:00","TE02-1","E5051-EE107-2-KIMIA DASAR","AMH","","",""
"8","Tuesday","13:50","TE02-1","E5051-EE107-2-KIMIA DASAR","AMH","","",""
"9","Tuesday","13:50","TE01-1","E5051-EE109-2-KONVERSI ENERGI","BTM","","",""
"9","Tuesday","14:40","TE01-1","E5051-EE109-2-KONVERSI ENERGI","BTM","","",""
"10","Thursday","13:00","TE02-1","E5051-EE109-2-KONVERSI ENERGI","MMS+HSB","","",""
"10","Thursday","13:50","TE02-1","E5051-EE109-2-KONVERSI ENERGI","MMS+HSB","","",""
"11","Thursday","09:30","TE01-1","E5051-EE111-2-BAHASA INGGRIS","IWR+NRL","","",""
"11","Thursday","10:20","TE01-1","E5051-EE111-2-BAHASA INGGRIS","IWR+NRL","","",""
"12","Thursday","07:00","TE02-1","E5051-EE111-2-BAHASA INGGRIS","IWR+NRL","","",""
