"Students Sets","Subject","Teachers","Activity Tags","Total Duration","Split Duration","Min Days","Weight","Consecutive"
"","*SEM-2 TE","","",1,"",,,
"2020*TE01-2","2018-2-DPTE-E5051-EE102-3-FISIKA DASAR II","BMY/1846+AGF/2055","",3,"3",,,
"2020*TE02-2","2018-2-DPTE-E5051-EE102-3-FISIKA DASAR II","AIP/2355","",3,"3",,,
"2020*TE01-2","2018-2-DPTE-E5051-EE104-3-MATEMATIKA TEKNIK I","WWP/1848+STA/3183","",3,"3",,,
"2020*TE02-2","2018-2-DPTE-E5051-EE104-3-MATEMATIKA TEKNIK I","AIP/2355+STA/3183","",3,"3",,,
"2020*TE01-2","2018-2-DPTE-E5051-EE106-3-RANGKAIAN LISTRIK I","INK/2338","",3,"3",,,
"2020*TE02-2","2018-2-DPTE-E5051-EE106-3-RANGKAIAN LISTRIK I","JKR/0767","",3,"3",,,
"2020*TE01-2","2018-2-DPTE-E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS/2203+HSB/2408","",5,"5",,,
"2020*TE02-2","2018-2-DPTE-E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE/2202+MMS/2203","",5,"5",,,
"","*SEM-4 TE","","",1,"",,,
"2019*TE01-4","2018-4-DPTE-E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY/1846+REP/3186","",3,"3",,,
"2019*TE02-4","2018-4-DPTE-E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY/1846+TLH","",3,"3",,,
"2019*TE01-4","2018-4-DPTE-E5051-EE205-2-EKONOMI TEKNIK","BTM/1235+BCH/0539","",2,"2",,,
"2019*TE02-4","2018-4-DPTE-E5051-EE205-2-EKONOMI TEKNIK","BCH/0539+BTM/1235+AJI","",2,"2",,,
"2019*TE01-4","2018-4-DPTE-E5051-EE206-2-SINYAL DAN SISTEM","AIP/2355","",2,"2",,,
"2019*TE02-4","2018-4-DPTE-E5051-EE206-2-SINYAL DAN SISTEM","AIP/2355","",2,"2",,,
"2019*TE01-4","2018-4-DPTE-E5051-EE301-2-SISTEM MIKROPROSESOR","YYS/0766+DDW/2934","",3,"3",,,
"2019*TE02-4","2018-4-DPTE-E5051-EE301-2-SISTEM MIKROPROSESOR","DDW/2934+YYS/0766","",3,"3",,,
"2019*TE01-4","2018-4-DPTE-E5051-EE210-2-PROBABILITAS DAN STATISTIKA","WWP/1848","",2,"2",,,
